1001	Mercenario(4+)
1002	Advance(8)
1003	Knight(12)
1004	Advance(8)
1005	Homen(13)
1006	Runet(13+)
1007	Master(16)
1008	Knight(12)
1009	DarkKnight(12)
1010	Acute(12+)
1011	Waclock(8)
1012	Homen(13)
1013	Hound(13+)
1015	Equip Lv29
1016	Equip Lv36
1017	Frozen
1018	Runet(13+)
1019	Master(16)
1024	Equip Lv61
1030	Divinity(16)
1040	Meteor(H)
1041	Aqua(H)
1042	Hurricane(H)
1043	Damned(H)
1101	Mercenary(5)
1102	Advance(7+)
1103	Knight(10)
1104	Advance(7+)
1105	Homen(11)
1106	Runet(11+)
1107	Master(14)
1108	Knight(10)
1109	DarkKnight(10)
1110	Acute(10+)
1111	Waclock(9)
1112	Homen(11)
1113	Hound(11+)
1115	Equip Lv41
1116	Equip Lv36
1117	Frozen
1118	Runet(11+)
1119	Master(14)
1124	Equip Lv61
1130	Divinity(15+)
1140	Meteor(H)
1141	Aqua(H)
1142	Hurricane(H)
1143	Damned(H)
1201	Mercenary(2+)
1202	Advance(4)
1203	Knight(7)
1204	Advance(4)
1205	Homen(7)
1206	Runet(7+)
1207	Master(9+)
1208	Knight(7)
1209	DarkKnight(7)
1210	Acute(7+)
1211	Waclock(4+)
1212	Homen(7)
1213	Hound(8+)
1215	Equip Lv34
1216	Equip Lv36
1217	Frozen
1218	Runet(7+)
1219	Master(9+)
1224	Equip Lv61
1230	Divinity(10)
1240	Meteor(H)
1241	Aqua(H)
1242	Hurricane(H)
1243	Damned(H)
1301	Mercenary(2)
1302	Advance(4)
1303	Knight(6)
1304	Advance(4)
1305	Homen(7)
1306	Runet(6+)
1307	Master(8+)
1308	Knight(6)
1309	DarkKnight(6)
1310	Acute(6+)
1311	Waclock(4)
1312	Homen(7)
1313	Hound(7+)
1315	Equip Lv41
1316	Equip Lv36
1317	Frozen
1318	Runet(6+)
1319	Master(8+)
1324	Equip Lv56
1330	Divinity(9)
1340	Meteor(H)
1341	Aqua(H)
1342	Hurricane(H)
1343	Damned(H)
1401	Mercenary(4)
1402	Advance(6)
1403	Knight(8)
1404	Advance(6)
1405	Homen(9+)
1406	Nightmare(9+)
1407	Master(11+)
1408	Knight(8)
1409	DarkKnight(8)
1410	MasterKnight(8+)
1411	Waclock(8)
1412	Acute(10+)
1413	Hound(11+)
1414	DawnKnight(9+)
1415	Homen(9+)
1416	Nightmare(9+)
1418	Homen(10+)
1419	Runet(9+)
1420	Equip Lv46
1422	RedMoon(12)
1423	Darkmoon(11)
1424	Master(11+)
1425	Golden sword(12)
1426	Equip Lv65
1430	Divinity(12)
1433	Equip Lv15
1434	Equip Lv10
1435	Frozen Red Sword(9+)
1436	Frozen Beryl(9+)
1437	Frozen Sword(12+)
1438	Black Hound(9)
1439	Bone(9)
1501	Mercenary(2)
1502	Advance(3)
1503	Knight(4)
1504	Advance(3)
1505	Homen(4+)
1506	Nightmare(6)
1507	Master(7)
1508	Knight(4)
1509	DarkKnight(4)
